"Gene","Spearman_rho","p_value","FDR","Absolute_Spearman_rho","Direction","Stage16B_Strong_Gene"
"NGLY1",0.0473960504670155,9.97831544707039e-05,0.000232136286802876,0.0473960504670155,"Increasing",FALSE
"PRR13",0.0473896887730634,9.99984284742263e-05,0.000232612060207538,0.0473896887730634,"Increasing",FALSE
"ABHD17B",0.0473828277587702,0.000100231090277076,0.000233128173596774,0.0473828277587702,"Increasing",FALSE
"PLD6",-0.0473373920475019,0.000101784789052954,0.000236716454093236,0.0473373920475019,"Decreasing",FALSE
"NDUFAF5",0.047319671390676,0.000102396894837775,0.000238114376137342,0.047319671390676,"Increasing",FALSE
"FPR1",-0.0473171929208281,0.000102482782358188,0.000238288457796476,0.0473171929208281,"Decreasing",FALSE
"AL353759.1",-0.0473125801462322,0.000102642811916749,0.000238634875257767,0.0473125801462322,"Decreasing",FALSE
"WDR47",0.0473050371420489,0.000102905007193707,0.000239218718314976,0.0473050371420489,"Increasing",FALSE
"TBC1D31",0.0472979379973191,0.000103152351087649,0.000239767915134354,0.0472979379973191,"Increasing",FALSE
"ASXL1",-0.0472838592418882,0.000103644534497564,0.000240886038986058,0.0472838592418882,"Decreasing",FALSE
"CEP162",0.0472826165491601,0.000103688084426413,0.000240961340408086,0.0472826165491601,"Increasing",FALSE
"C1orf74",0.047280267884121,0.000103770440101796,0.000241126796838688,0.047280267884121,"Increasing",FALSE
"NLK",0.047262349017629,0.000104400797928221,0.000242565449223615,0.047262349017629,"Increasing",FALSE
"PDZD7",0.0472593352000651,0.000104507173623267,0.000242786499892367,0.0472593352000651,"Increasing",FALSE
"ATL3",0.0472528213829189,0.000104737434765487,0.000243287361136233,0.0472528213829189,"Increasing",FALSE
"AL135999.1",0.0472525995483587,0.000104745284961199,0.000243287361136233,0.0472525995483587,"Increasing",FALSE
"TCOF1",-0.0472521894840568,0.000104759797619862,0.000243294919566385,0.0472521894840568,"Decreasing",FALSE
"AL136088.1",-0.0472508063614843,0.000104808761949344,0.00024338247858643,0.0472508063614843,"Decreasing",FALSE
"ADCY1",-0.0472455314122505,0.000104995700260457,0.000243790381715748,0.0472455314122505,"Decreasing",FALSE
"AL451042.2",-0.0472429539731154,0.00010508715619237,0.000243976519694577,0.0472429539731154,"Decreasing",FALSE
"AC036176.1",0.0472396284143867,0.000105205268895627,0.000244224498961703,0.0472396284143867,"Increasing",FALSE
"AC092053.2",-0.0472373190644623,0.000105287362942315,0.000244388819890808,0.0472373190644623,"Decreasing",FALSE
"CLIC4",0.047219201069813,0.000105933531763991,0.000245862272733309,0.047219201069813,"Increasing",FALSE
